MovieID,Title,Genre,UserID,Rating,Timestamp
907,Our Avoid (2016),Sci-Fi,3642,4,1701882457.0
67,Green Scientist (1993),Sci-Fi,2535,5,1665815099.0
947,Up Town (2002),Fantasy,1444,3,1642228570.0
308,Heavy Administration (2001),Sci-Fi,4870,5,1684118498.0
119,Support Pull (1982),Thriller,4784,5,1614539545.0
853,Dream Common (2012),Horror,3080,2,1607853719.0
683,Occur Strategy (2001),Sci-Fi,70,3,1718368055.0
186,Article Mother (1981),Romance,1374,3,1573292924.0
974,Technology Kind (2013),Fantasy,3326,3,1652123566.0
70,Fill Here (1993),Drama,2387,5,1708719382.0
757,College Director (1992),Fantasy,3978,4,1680106157.0
925,Indeed Human (2011),Horror,2352,3,1666183964.0
671,Cell Age (1999),Action,1902,5,1717760565.0
284,Bag Case (1986),Thriller,2667,2,1687119323.0
619,Nothing Ball (1983),Romance,3106,4,1651399091.0
946,Be Yourself (1989),Sci-Fi,3651,2,1694014321.0
548,Visit Today (1982),Fantasy,282,4,1623517041.0
348,Kitchen Past (1990),Sci-Fi,2751,5,1660968524.0
915,Space Financial (1999),Comedy,662,1,1697339841.0
195,Enough Magazine (1981),Drama,480,4,1607844607.0
780,Under Buy (1980),Fantasy,549,2,1656287380.0
484,Level Whether (2019),Horror,643,5,1716533274.0
984,Argue Five (2015),Romance,988,4,1599438717.0
588,Street House (2013),Horror,364,1,1720401934.0
280,Play Election (1988),Drama,3688,1,1716706996.0
833,Sometimes Father (1990),Drama,4066,3,1682340762.0
348,Kitchen Past (1990),Sci-Fi,3980,3,1602246844.0
592,Room Start (2013),Romance,2313,2,1670901486.0
917,Tell Close (1986),Horror,1350,4,1633575603.0
478,Break Back (2013),Fantasy,1170,4,1580948287.0
98,Back Necessary (1989),Drama,2113,3,1688509929.0
282,Hair Prevent (2000),Horror,591,4,1638556689.0
630,Do Sure (1991),Drama,3516,4,1574967251.0
419,Discussion Red (1987),Comedy,684,1,1606715392.0
223,Add Author (1984),Action,3211,3,1627766333.0
252,Serious Natural (2021),Horror,131,5,1679418789.0
80,Receive Smile (2002),Horror,4813,3,1684796699.0
826,Report Actually (2008),Action,2821,5,1616316655.0
682,Image Live (1989),Thriller,3744,1,1575030149.0
413,Rate Level (2015),Drama,2710,2,1694749905.0
669,Sea Way (1999),Fantasy,1973,4,1568474444.0
393,Start Whole (2014),Action,2155,1,1708831842.0
334,Sport Late (1992),Thriller,2074,4,1660433427.0
889,Our Stay (1985),Horror,4009,2,1682289845.0
328,Camera Official (1985),Fantasy,2687,2,1657449935.0
2,More Common (2014),Thriller,269,1,1600693123.0
203,Economy Walk (2001),Sci-Fi,2379,2,1580744144.0
